affiliation,category,instructors,nanodegree,skill_level,skills,summary,title,url
Collaboration WithGrow With Google,Career Advancement,,Become a Professional React Developer,beginner,"['Resume writing, ', 'Company targeting, ', 'Storytelling']","Your resume is the first step in the job search. Through this course, you will identify the companies you want to work for, and showcase your key achievements to align with their roles. With our proven industry framework, you will build a tech-focused resume that will help you get noticed and land the interview.",Refresh Your Resume,https://www.udacity.com/course/refresh-your-resume--ud243
,Career Advancement,,Predictive Analytics for Business,beginner,"['Creating a narrative, ', 'Targeting your pitch, ', 'Communicating value']","Introduce yourself with a memorable cover letter. In this short course, you'll use proven writing techniques to show why you are the best person for the job. You’ll learn how to research company values, target your pitch, and craft an authentic story that connects with their mission. We give you the research and writing tools you need to show why you're the best person for the job!",Craft Your Cover Letter,https://www.udacity.com/course/craft-your-cover-letter--ud244
Collaboration WithGrow With Google,Career Advancement,,Self-Driving Car Engineer Nanodegree,beginner,"['GitHub, ', 'Version Control, ', 'Repositories']","GitHub is the preferred platform for showcasing your programming projects. Some technical recruiters and hiring managers even use GitHub to find candidates. In this course, you'll learn GitHub best practices from technical experts. You'll compare different styles for committing changes, forking repos, and merging pull requests. You'll also understand how to organize your code to showcase your technical projects. And you'll learn how to collaborate with other engineers on GitHub. Technical hiring managers will share GitHub profile tips that generate more job opportunities. Gain the confidence you need to establish your presence in the open source community.",Optimize Your GitHub,https://www.udacity.com/course/optimize-your-github--ud247
Collaboration WithGrow With Google,Career Advancement,,Become a Digital Marketer,beginner,"['Personal branding, ', 'LinkedIn, ', 'Networking']","Networking is an essential job search skill. In this course, you'll learn strategies and tactics for effective networking. You'll learn to make personal connections in-person and online. You'll discover how to establish rapport with recruiters, employers, and industry professionals. You'll learn how to craft a professional narrative and elevator pitch. You'll get tips to optimize your LinkedIn profile and write emails that get replies. We give you the confidence you need to make personal connections and improve your job search.",Strengthen Your LinkedIn Network & Brand,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242
,Career Advancement,,Become an iOS Developer,intermediate,"['Interview practice, ', 'Swift, ', 'Data structures']","Technical interviews follow a pattern. If you know the pattern, you’ll be a step ahead of the competition. This course will introduce you to common data structures and algorithms in Swift. You'll review frequently-asked technical interview questions and learn how to structure your responses.You will answer practice problems and quizzes to test your abilities. Then you'll practice mock interviews to get specific recommendations for improvement. Be ready for anything the technical interviewer throws at you.",Data Structures & Algorithms in Swift,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011
,Career Advancement,,Data Analyst Nanodegree,intermediate,"['Interview practice, ', 'Common Data Questions, ', 'Data Structures']","Data science job interviews  can be daunting. Technical interviewers often ask you to design an experiment or model. You may need to solve problems using Python and SQL. You will likely need to show how you connect data skills to business decisions and strategy.In this course, you'll review the common questions asked in data science, data analyst, and machine learning interviews. You'll learn how to answer machine learning questions about predictions, underfitting and overfitting. You'll walk through typical data analyst questions about statistics and probability. Then, you'll dive deeper into the data structures and algorithms you need to know. You'll also learn tips for answering questions like, ""Tell me about one of your recent projects."" At the end of the course, you'll have a chance to practice what you've learned. You'll receive a link for unlimited mock interviews on Pramp. Practice the skills you need to show up for your data science interview with confidence!",Data Science Interview Prep,https://www.udacity.com/course/data-science-interview-prep--ud944
,Career Advancement,,Become a Front End Developer,intermediate,"['Interview questions, ', 'Common FE Questions, ', 'Whiteboarding']","This course takes you through a mock interview, and offers detailed analysis on how to field key industry questions. Your will review common Front-End Web Developer interview topics ranging from palindrome functions to closures, and learn best practices for behavioral questions and whiteboard problems. Upon completing this course, you’ll be ready to successfully  showcase your skills during a Front-End Web Developer interview!",Front-End Interview Prep,https://www.udacity.com/course/front-end-interview-prep--ud250
Collaboration WithGrow With Google,Career Advancement,,Become an Android Developer,intermediate,"['Interview practice, ', 'Common Android Questions, ', 'Whiteboarding']","This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll work through common Android Developer interview topics ranging from explicit and implicit intents to designing a min stack, and you’ll learn best practices for behavioral questions and whiteboard problems. Upon completing the course, you’ll be ready to showcase your skills during the Android Developer interview!",Android Interview Prep,https://www.udacity.com/course/android-interview-prep--ud241
Collaboration WithGrow With Google,Career Advancement,,VR Developer Nanodegree,intermediate,"['Interview practice, ', 'Common VR Questions, ', 'Whiteboarding']","This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You'll review common VR Developer interview topics, including 3D graphics and scene optimization. You'll also learn best practices for answering behavioral questions and solving whiteboard problems. Upon completing this course, you’ll be ready to showcase your skills during your VR Developer interview!",VR Interview Prep,https://www.udacity.com/course/vr-interview-prep--ud251
,Career Advancement,,Become a Professional Full Stack Developer,intermediate,"['Interview practice, ', 'Common FS Questions, ', 'Whiteboarding']","This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll review common Full Stack Web Developer interview topics like palindrome functions and data structures. You’ll also learn best practices for behavioral questions and whiteboard problems. Upon completing this course, you’ll be ready to showcase your skills during your Full Stack Web Developer interview!",Full-Stack Interview Prep,https://www.udacity.com/course/full-stack-interview-prep--ud252
,Career Advancement,,Become an iOS Developer,intermediate,"['Interview practice, ', 'Common iOS Questions, ', 'Whiteboarding']","This course is an excellent way to prepare for technical interviews. You’ll experience a mock interview, and review detailed analysis on how to field key industry questions. You’ll review common iOS Developer interview topics ranging from notifications and delegates to the model view controller, and learn best practices for behavioral questions and whiteboard problems. You'll learn how to discuss your interests in iOS development. Senior mobile developers will share their tips for addressing common data issues. When you complete this course, you’ll be ready to showcase your skills during the iOS Developer interview!",iOS Interview Prep,https://www.udacity.com/course/ios-interview-prep--ud240
